alpha,x_c,Cf_x_upper
12,0.40931,-0.00288
12,0.41769,-0.002705
12,0.42602,-0.002531
12,0.4343,-0.002368
12,0.44252,-0.002216
12,0.45069,-0.002073
12,0.45881,-0.00193
12,0.46688,-0.00179
12,0.47489,-0.001657
12,0.48286,-0.001529
12,0.49077,-0.001404
12,0.49864,-0.00128
12,0.50645,-0.001162
12,0.51422,-0.00105
12,0.52194,-0.000942
12,0.5296,-0.000844
12,0.53722,-0.000748
12,0.54479,-0.000656
12,0.55231,-0.000569
12,0.55979,-0.000486
12,0.56721,-0.000408
12,0.57459,-0.000332
12,0.58193,-0.000262
12,0.58921,-0.000194
12,0.59645,-0.00013
12,0.60364,-7e-05
12,0.61079,-1.2e-05
12,0.61789,4.4e-05
12,0.62495,9.5e-05
12,0.63196,0.000141
12,0.63893,0.000184
12,0.64585,0.000224
12,0.65273,0.000261
12,0.65956,0.000296
12,0.66635,0.000329
12,0.6731,0.000359
12,0.67981,0.000387
12,0.68647,0.000413
12,0.69309,0.000436
12,0.69967,0.000457
12,0.7062,0.000477
12,0.7127,0.000496
12,0.71915,0.000513
12,0.72556,0.000529
12,0.73193,0.000544
12,0.73826,0.000557
12,0.74455,0.00057
12,0.7508,0.000581
12,0.75701,0.000592
12,0.76318,0.000602
12,0.76931,0.000612
12,0.7754,0.00062
12,0.78145,0.000628
12,0.78747,0.000636
12,0.79344,0.000643
12,0.79938,0.00065
12,0.80528,0.000656
12,0.81114,0.000662
12,0.81697,0.000667
12,0.82276,0.000671
12,0.82851,0.000676
12,0.83422,0.000681
12,0.8399,0.000685
12,0.84554,0.00069
12,0.85114,0.000694
12,0.85671,0.000698
12,0.86224,0.000701
12,0.86774,0.000705
12,0.87321,0.000708
12,0.87863,0.000712
12,0.88403,0.000715
12,0.88939,0.000718
12,0.89471,0.000722
12,0.9,0.000725
12,0.90526,0.000728
12,0.91048,0.000731
12,0.91567,0.000734
12,0.92082,0.000737
12,0.92595,0.000741
12,0.93104,0.000745
12,0.9361,0.00075
12,0.94112,0.000757
12,0.94611,0.000766
12,0.95107,0.000773
12,0.956,0.000778
12,0.9609,0.000776
12,0.96577,0.000759
12,0.9706,0.000722
12,0.9754,0.000649
12,0.98018,0.000539
12,0.98492,0.000349
12,0.98963,0.000109
12,0.99431,-9.2e-05
12,0.99832,0.000111
13,0.0,0.001464
13,0.00025,-0.003211
13,0.00073,-0.008196
13,0.00141,-0.013021
13,0.00228,-0.017217
13,0.00334,-0.021016
13,0.00455,-0.023883
13,0.00591,-0.02586
13,0.0074,-0.02712
13,0.00901,-0.027703
13,0.01074,-0.027854
13,0.01256,-0.027719
13,0.01448,-0.027214
13,0.0165,-0.026362
13,0.01861,-0.025362
13,0.0208,-0.024285
13,0.02308,-0.023107
13,0.02545,-0.021809
13,0.0279,-0.020473
13,0.03043,-0.019159
13,0.03305,-0.0179
13,0.03575,-0.016634
13,0.03853,-0.015368
13,0.04139,-0.014169
13,0.04435,-0.012975
13,0.04738,-0.011829
